timestamp,command,gesture,text,x,y,status,message,latency_ms
2026-05-16 11:10:10,SCROLL_DOWN,OPEN_PALM_DOWN,,,,success,Scrolled down,51.34
2026-05-16 11:10:26,INPUT_TEXT,,Hello,,,success,Input text: Hello,57.25
2026-05-16 11:10:50,OPEN_THAIJO,,,,,success,Opened ThaiJO website,141.56
2026-05-16 11:10:58,INPUT_TEXT,,machine learning,,,success,Input text: machine learning,56.34
2026-05-16 11:11:01,CONFIRM,PINCH_CONFIRM,,,,success,Pressed Enter,50.96
2026-05-16 11:17:40,OPEN_THAIJO,,,,,success,Opened ThaiJO website,142.43
2026-05-16 11:17:48,INPUT_TEXT,,machine learning,,,success,Input text: machine learning,57.49
2026-05-16 11:17:51,CONFIRM,PINCH_CONFIRM,,,,success,Pressed Enter,50.99
2026-05-16 11:22:42,OPEN_THAIJO,,,,,success,Opened ThaiJO website,140.61
2026-05-16 11:28:38,OPEN_THAIJO,,,,,success,Opened ThaiJO website,143.88
2026-05-16 11:39:14,THAIJO_INPUT_SEARCH,,machine learning,,,error,"Message: 
",
2026-05-16 11:39:45,THAIJO_INPUT_SEARCH,,machine learning,,,error,"Message: 
",
2026-05-16 11:39:59,THAIJO_INPUT_SEARCH,,12,,,success,Input ThaiJO keyword: 12,121.42
2026-05-16 11:51:00,OPEN_THAIJO,,,,,success,Opened ThaiJO,1716.73
2026-05-16 11:51:00,THAIJO_INPUT_SEARCH,,machine learning,,,success,Input ThaiJO keyword: machine learning,324.96
2026-05-16 11:51:07,THAIJO_SUBMIT_SEARCH,PINCH_CONFIRM,,,,success,Submitted ThaiJO search,44.27
2026-05-16 12:21:29,OPEN_THAIJO,,,,,success,Opened ThaiJO,1533.18
2026-05-16 12:21:30,THAIJO_INPUT_SEARCH,,machine learning,,,success,Input ThaiJO keyword: machine learning,348.38
2026-05-16 12:21:33,THAIJO_SUBMIT_SEARCH,PINCH_CONFIRM,,,,success,Submitted ThaiJO search,37.63
2026-05-16 12:24:59,THAIJO_INPUT_SEARCH,,machine learning,,,success,Input ThaiJO keyword: machine learning,343.39
2026-05-16 12:24:59,OPEN_THAIJO,,,,,success,Opened ThaiJO,1683.47
2026-05-16 12:25:03,THAIJO_SUBMIT_SEARCH,PINCH_CONFIRM,,,,success,Submitted ThaiJO search,39.25
2026-05-16 12:27:44,OPEN_THAIJO,,,,,success,Opened ThaiJO,1523.8
2026-05-16 12:27:44,THAIJO_INPUT_SEARCH,,machine learning,,,success,Input ThaiJO keyword: machine learning,297.61
2026-05-16 12:27:47,THAIJO_SUBMIT_SEARCH,PINCH_CONFIRM,,,,success,Submitted ThaiJO search,154.21
2026-05-16 12:29:37,OPEN_THAIJO,,,,,success,Opened ThaiJO,1727.81
2026-05-16 12:29:37,THAIJO_INPUT_SEARCH,,python,,,success,Input ThaiJO keyword: python,162.99
2026-05-16 12:30:10,THAIJO_INPUT_SEARCH,,Hello,,,success,Input ThaiJO keyword: Hello,115.72
2026-05-16 12:30:25,OPEN_THAIJO,,,,,success,Opened ThaiJO,501.9
2026-05-16 12:30:25,THAIJO_INPUT_SEARCH,,machine learning,,,success,Input ThaiJO keyword: machine learning,211.6
2026-05-16 12:30:29,THAIJO_SUBMIT_SEARCH,PINCH_CONFIRM,,,,success,Submitted ThaiJO search,25.59
2026-05-16 12:34:34,OPEN_THAIJO,,,,,success,Opened ThaiJO,1866.91
